날짜,종가,등락율,시작가,최고가,최저가,거래량
2020-04-22,49850,1.22,48700,50000,48350,18613864
2020-04-21,49250,-1.70,49400,49700,48700,27407543
2020-04-20,50100,-2.53,51400,51400,50000,21866354
2020-04-17,51400,4.90,50800,52000,50300,32041675
2020-04-16,49000,0.00,49350,49350,48550,23349760
2020-04-14,49000,1.45,48800,49200,48300,14206216
2020-04-13,48300,-1.93,48650,48900,48300,14431800
2020-04-10,49250,0.31,48950,49250,48650,17839111
2020-04-09,49100,1.03,49750,49800,48700,22628058
2020-04-08,48600,-2.02,49600,49750,48600,25010314
2020-04-07,49600,1.85,49650,50200,49000,31524034
2020-04-06,48700,3.62,47500,48800,47250,23395726
2020-04-03,47000,0.43,47400,47600,46550,22784682
2020-04-02,46800,2.18,46200,46850,45350,21621076
2020-04-01,45800,-4.08,47450,47900,45800,27259532
2020-03-31,47750,-0.21,48000,48500,47150,30654261
2020-03-30,47850,-0.93,47050,48350,46550,26797395
2020-03-27,48300,1.05,49600,49700,46850,39896178
2020-03-26,47800,-1.75,49000,49300,47700,42185129
2020-03-25,48650,3.62,48950,49600,47150,52735922
2020-03-24,46950,10.47,43850,46950,43050,49801908
2020-03-23,42500,-6.39,42600,43550,42400,41701626
2020-03-20,45400,5.70,44150,45500,43550,49730008
2020-03-19,42950,-5.81,46400,46650,42300,56925513
2020-03-18,45600,-3.59,47750,48350,45600,40152623
2020-03-17,47300,-3.27,46900,49650,46700,51218151
2020-03-16,48900,-2.10,50100,50900,48800,33339821
2020-03-13,49950,-1.67,47450,51600,46850,59462933
2020-03-12,50800,-2.50,51000,51900,49300,48149999
2020-03-11,52100,-4.58,54300,54400,52000,45707281
2020-03-10,54600,0.74,53800,54900,53700,32106554
2020-03-09,54200,-4.07,54700,55000,53600,30261485
2020-03-06,56500,-2.25,56500,57200,56200,18716656
2020-03-05,57800,0.70,57600,58000,56700,21698990
2020-03-04,57400,3.61,54800,57600,54600,24765728
2020-03-03,55400,0.73,56700,56900,55100,30330295
2020-03-02,55000,1.48,54300,55500,53600,30403412
2020-02-28,54200,-3.04,55000,55500,54200,30054227
2020-02-27,55900,-1.06,56300,56900,55500,23209541
2020-02-26,56500,-2.42,56000,57000,56000,25483102
2020-02-25,57900,1.94,56200,58000,56200,23885408
2020-02-24,56800,-4.05,57400,58100,56800,25627537
2020-02-21,59200,-1.33,58800,59800,58500,13777393
2020-02-20,60000,-0.33,60700,61300,59600,14591924
2020-02-19,60200,0.67,59800,60400,59400,12951496
2020-02-18,59800,-2.76,60800,60900,59700,16674266
2020-02-17,61500,-0.49,61600,62000,61200,8740596
2020-02-14,61800,1.81,60900,61900,60200,13276067
2020-02-13,60700,0.33,61200,61600,60500,18449775
2020-02-12,60500,1.00,60300,60700,59700,12904207
2020-02-11,59900,0.34,59800,60700,59700,11071231
2020-02-10,59700,-1.16,59200,59800,59100,13107121
2020-02-07,60400,-1.15,61100,61200,59700,16402493
2020-02-06,61100,2.69,60100,61100,59700,14727159
2020-02-05,59500,1.02,60000,60200,58900,19278165
2020-02-04,58900,2.97,57100,59000,56800,21800192
2020-02-03,57200,1.42,55500,57400,55200,23995260
2020-01-31,56400,-1.40,57800,58400,56400,19749457
2020-01-30,57200,-3.21,58800,58800,56800,20821939
2020-01-29,59100,0.51,59100,59700,58800,16446102
2020-01-28,58800,-3.29,59400,59400,58300,23664541
2020-01-23,60800,-2.41,61800,61800,60700,14916555
2020-01-22,62300,1.47,60500,62600,60400,15339565
2020-01-21,61400,-1.60,62000,62400,61200,11142693
2020-01-20,62400,1.79,62000,62800,61700,12528855
2020-01-17,61300,0.99,61900,62000,61000,16025661
2020-01-16,60700,2.88,59100,60700,59000,14381774
2020-01-15,59000,-1.67,59500,59600,58900,14300928
2020-01-14,60000,0.00,60400,61000,59900,16906295
2020-01-13,60000,0.84,59600,60000,59100,11359139
2020-01-10,59500,1.54,58800,59700,58300,16000170
2020-01-09,58600,3.17,58400,58600,57400,24102579
2020-01-08,56800,1.79,56200,57400,55900,23501171
2020-01-07,55800,0.54,55700,56400,55600,10009778
2020-01-06,55500,0.00,54900,55600,54600,10278951
2020-01-03,55500,0.54,56000,56600,54900,15422255
2020-01-02,55200,-1.08,55500,56000,55000,12993228
2019-12-30,55800,-1.24,56200,56600,55700,8356767
2019-12-27,56500,1.99,55700,56900,55500,12313056
2019-12-26,55400,0.73,54700,55400,54400,9645034
2019-12-24,55000,-0.90,55600,55700,54800,11868463
2019-12-23,55500,-0.89,56100,56400,55100,9839252
2019-12-20,56000,0.00,56100,56500,55600,12095519
2019-12-19,56000,-0.53,57000,57300,55500,14180520
2019-12-18,56300,-0.71,56700,57200,56000,15558208
2019-12-17,56700,3.66,55800,56700,55400,19358433
2019-12-16,54700,0.00,54500,54900,54300,11512405
2019-12-13,54700,2.63,54500,54800,53900,18120261
2019-12-12,53300,2.70,53000,53300,52700,29178697
2019-12-11,51900,0.78,51500,52200,51400,11379521
2019-12-10,51500,0.59,51000,51600,50700,6882771
